iter	Passed	Remaining
591	12776	8805
592	12796	8783
593	12817	8760
594	12836	8737
595	12856	8714
596	12875	8691
597	12896	8669
598	12915	8646
599	12934	8622
600	12953	8599
601	12972	8576
602	12991	8553
603	13010	8529
604	13028	8506
605	13048	8483
606	13067	8460
607	13086	8437
608	13106	8414
609	13126	8392
610	13145	8369
611	13163	8345
612	13183	8323
613	13203	8300
614	13222	8277
615	13241	8254
616	13260	8231
617	13278	8208
618	13298	8185
619	13318	8162
620	13337	8139
621	13357	8117
622	13377	8095
623	13398	8073
624	13419	8051
625	13443	8032
626	13466	8010
627	13486	7988
628	13506	7966
629	13530	7946
630	13551	7924
631	13572	7903
632	13594	7881
633	13612	7858
634	13631	7835
635	13650	7812
636	13669	7789
637	13687	7766
638	13705	7743
639	13724	7720
640	13743	7697
641	13762	7674
642	13782	7652
643	13800	7629
644	13818	7605
645	13838	7583
646	13856	7560
647	13875	7537
648	13896	7515
649	13918	7494
650	13942	7474
651	13966	7454
652	13989	7434
653	14011	7412
654	14031	7390
655	14052	7368
656	14072	7346
657	14091	7324
658	14110	7301
659	14131	7279
660	14150	7257
661	14169	7234
662	14189	7212
663	14210	7191
664	14229	7168
665	14251	7147
666	14271	7124
667	14290	7102
668	14310	7080
669	14329	7057
670	14348	7035
671	14368	7013
672	14389	6991
673	14410	6970
674	14430	6947
675	14449	6925
676	14468	6903
677	14489	6881
678	14510	6860
679	14531	6838
680	14550	6815
681	14569	6793
682	14588	6771
683	14607	6748
684	14625	6725
685	14648	6705
686	14667	6682
687	14686	6660
688	14708	6639
689	14727	6616
690	14748	6595
691	14766	6572
692	14785	6550
693	14805	6527
694	14823	6505
695	14842	6482
696	14861	6460
697	14880	6438
698	14900	6416
699	14919	6394
700	14939	6372
701	14961	6351
702	14983	6330
703	15002	6307
704	15022	6286
705	15045	6265
706	15067	6244
707	15092	6224
708	15117	6204
709	15141	6184
710	15162	6163
711	15181	6140
712	15200	6118
713	15219	6096
714	15238	6074
715	15258	6052
716	15278	6030
717	15298	6008
718	15317	5986
719	15336	5964
720	15355	5942
721	15374	5919
722	15394	5897
723	15415	5876
724	15435	5854
725	15455	5833
726	15474	5811
727	15493	5788
728	15512	5766
729	15531	5744
730	15549	5722
731	15568	5699
732	15587	5677
733	15607	5655
734	15627	5634
735	15647	5612
736	15669	5591
737	15690	5570
738	15709	5548
739	15729	5526
740	15752	5505
741	15772	5484
742	15793	5462
743	15812	5440
744	15830	5418
745	15849	5396
746	15868	5374
747	15888	5352
748	15908	5331
749	15929	5309
750	15949	5288
751	15969	5266
752	15990	5245
753	16011	5223
754	16033	5202
755	16053	5181
756	16075	5160
757	16095	5138
758	16116	5117
759	16135	5095
760	16156	5074
761	16174	5052
762	16194	5030
763	16213	5008
764	16231	4986
765	16249	4963
766	16268	4942
767	16287	4920
768	16305	4898
769	16325	4876
770	16343	4854
771	16362	4832
772	16382	4810
773	16402	4789
774	16424	4768
775	16447	4747
776	16466	4725
777	16485	4704
778	16505	4682
779	16523	4660
780	16541	4638
781	16560	4616
782	16580	4595
783	16598	4573
784	16616	4551
785	16635	4529
786	16653	4507
787	16671	4485
788	16691	4463
789	16710	4441
790	16728	4420
791	16747	4398
792	16767	4376
793	16785	4354
794	16806	4333
795	16825	4312
796	16844	4290
797	16863	4268
798	16883	4247
799	16904	4226
800	16923	4204
801	16945	4183
802	16964	4161
803	16984	4140
804	17004	4119
805	17023	4097
806	17041	4075
807	17060	4053
808	17077	4031
809	17096	4010
810	17115	3988
811	17134	3967
812	17152	3945
813	17171	3923
814	17191	3902
815	17209	3880
816	17228	3858
817	17247	3837
818	17267	3816
819	17286	3794
820	17306	3773
821	17324	3751
822	17343	3730
823	17363	3708
824	17386	3687
825	17406	3666
826	17427	3645
827	17447	3624
828	17468	3603
829	17489	3582
830	17510	3561
831	17531	3539
832	17552	3518
833	17574	3497
834	17593	3476
835	17613	3455
836	17643	3435
837	17662	3414
838	17682	3393
839	17702	3371
840	17722	3350
841	17741	3329
842	17760	3307
843	17781	3286
844	17800	3265
845	17820	3243
846	17840	3222
847	17861	3201
848	17881	3180
849	17902	3159
850	17921	3137
851	17940	3116
852	17961	3095
853	17979	3073
854	17999	3052
855	18019	3031
856	18037	3009
857	18056	2988
858	18075	2967
859	18096	2945
860	18116	2924
861	18138	2903
862	18160	2882
863	18182	2862
864	18204	2841
865	18224	2819
866	18243	2798
867	18261	2777
868	18279	2755
869	18297	2734
870	18316	2712
871	18334	2691
872	18353	2669
873	18372	2648
874	18391	2627
875	18409	2605
876	18428	2584
877	18446	2563
878	18465	2541
879	18485	2520
880	18504	2499
881	18523	2478
882	18542	2456
883	18560	2435
884	18580	2414
885	18601	2393
886	18620	2372
887	18639	2350
888	18660	2329
889	18684	2309
890	18708	2288
891	18732	2268
892	18758	2247
893	18783	2227
894	18807	2206
895	18831	2185
896	18852	2164
897	18874	2143
898	18896	2122
899	18917	2101
900	18937	2080
901	18957	2059
902	18975	2038
903	18993	2016
904	19011	1995
905	19030	1974
906	19050	1953
907	19070	1932
908	19089	1911
909	19109	1889
910	19129	1868
911	19149	1847
912	19172	1826
913	19192	1805
914	19212	1784
915	19232	1763
916	19253	1742
917	19271	1721
918	19290	1700
919	19310	1679
920	19329	1657
921	19348	1636
922	19366	1615
923	19384	1594
924	19403	1573
925	19422	1552
926	19441	1531
927	19461	1509
928	19480	1488
929	19499	1467
930	19518	1446
931	19537	1425
932	19557	1404
933	19576	1383
934	19597	1362
935	19617	1341
936	19637	1320
937	19658	1299
938	19678	1278
939	19697	1257
940	19716	1236
941	19735	1215
942	19755	1194
943	19776	1173
944	19794	1152
945	19813	1131
946	19833	1110
947	19852	1088
948	19872	1067
949	19891	1046
950	19910	1025
951	19930	1004
952	19949	983
953	19968	962
954	19988	941
955	20007	920
956	20029	899
957	20050	879
958	20071	858
959	20092	837
960	20112	816
961	20132	795
962	20152	774
963	20172	753
964	20191	732
965	20212	711
966	20233	690
967	20252	669
968	20274	648
969	20293	627
970	20313	606
971	20332	585
972	20351	564
973	20370	543
974	20389	522
975	20408	501
976	20427	480
977	20446	459
978	20465	438
979	20484	418
980	20502	397
981	20521	376
982	20539	355
983	20559	334
984	20577	313
985	20597	292
986	20616	271
987	20635	250
988	20655	229
989	20673	208
990	20692	187
991	20711	167
992	20730	146
993	20750	125
994	20770	104
995	20789	83
996	20808	62
997	20827	41
998	20846	20
999	20865	0
